Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-74d9,checkpoint-9nfr,checkpoint-33a1,randomiser-pv2z,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: item,Spreadsheet: nsl_id_gloss,Spreadsheet: norsk_video,Spreadsheet: picture_name,Spreadsheet: trial_number,Manipulation: Spreadsheet,Store: progress
31,1696327115731,03/10/2023 09:58:35,1696334315731,2,03/10/2023 13:58:35,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,6,trial,Screen 1,9lhd9n,1,response,yes,3715,9780,9796,3715,9780,9796,1,3715,6081,0,,Rating Scale,Use,7,object-12,trial,change,endring,Endring.mp4,Change 1.jpg,6,,29
32,1696327115732,03/10/2023 09:58:35,1696334315732,2,03/10/2023 13:58:35,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,6,trial,Screen 1,9lhd9n,1,response,2,8131,9780,9796,8131,9780,9796,1,8131,1665,0,,Rating Scale,Similarity,9,object-14,trial,change,endring,Endring.mp4,Change 1.jpg,6,,30
33,1696327116051,03/10/2023 09:58:36,1696334316051,2,03/10/2023 13:58:36,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,7,trial,Screen 1,9lhd9n,1,info,Video start,120.7839583226405,112,120.7839583226405,120.7839583226405,112,120.7839583226405,1,120.7839583226405,0,0,,Video,Video,2,object-8,trial,family,familie,Familie.mp4,Family 1.jpg,7,,31
34,1696327121832,03/10/2023 09:58:41,1696334321832,2,03/10/2023 13:58:41,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,7,trial,Screen 1,9lhd9n,1,continue,,6114,6098,6114,6114,6098,6114,1,6114,0,0,,Click To Continue,Continue Button,10,object-24,trial,family,familie,Familie.mp4,Family 1.jpg,7,,32
35,1696327121833,03/10/2023 09:58:41,1696334321833,2,03/10/2023 13:58:41,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,7,trial,Screen 1,9lhd9n,1,response,7,2732,6098,6114,2732,6098,6114,1,2732,3382,0,,Rating Scale,Familiarity,5,object-10,trial,family,familie,Familie.mp4,Family 1.jpg,7,,33
36,1696327121835,03/10/2023 09:58:41,1696334321835,2,03/10/2023 13:58:41,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,7,trial,Screen 1,9lhd9n,1,response,yes,3666,6098,6114,3666,6098,6114,1,3666,2448,0,,Rating Scale,Use,7,object-12,trial,family,familie,Familie.mp4,Family 1.jpg,7,,34
37,1696327121836,03/10/2023 09:58:41,1696334321836,2,03/10/2023 13:58:41,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,7,trial,Screen 1,9lhd9n,1,response,4,5349,6098,6114,5349,6098,6114,1,5349,765,0,,Rating Scale,Similarity,9,object-14,trial,family,familie,Familie.mp4,Family 1.jpg,7,,35
38,1696327122157,03/10/2023 09:58:42,1696334322157,2,03/10/2023 13:58:42,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,8,trial,Screen 1,9lhd9n,1,info,Video start,141,125,141,141,125,141,1,141,0,0,,Video,Video,2,object-8,trial,color,farge,Farge.mp4,Color 1.jpg,8,,36
39,1696327129590,03/10/2023 09:58:49,1696334329590,2,03/10/2023 13:58:49,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,8,trial,Screen 1,9lhd9n,1,continue,,7766,7749,7766,7766,7749,7766,1,7766,0,0,,Click To Continue,Continue Button,10,object-24,trial,color,farge,Farge.mp4,Color 1.jpg,8,,37
40,1696327129604,03/10/2023 09:58:49,1696334329604,2,03/10/2023 13:58:49,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,8,trial,Screen 1,9lhd9n,1,response,7,3587,7749,7766,3587,7749,7766,1,3587,4179,0,,Rating Scale,Familiarity,5,object-10,trial,color,farge,Farge.mp4,Color 1.jpg,8,,38
